trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
143,False,"{'a': 0.8, 'e': 0.055632531694885724}",20,13,10.534099376558036,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.8, 'e': 0.054519881060988006}",20,6,22.2127774325335,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.8, 'e': 0.05342948343976824}",20,10,17.031259960013294,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.8, 'e': 0.052360893770972874}",20,5,22.922039889497235,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.8, 'e': 0.05131367589555342}",30,15,25.766085019366635,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.8, 'e': 0.05028740237764235}",25,19,6.629978180832368,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.8, 'e': 0.0492816543300895}",25,13,7.318649380672419,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,11,15.32592151599891,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,16,9.994717400872968,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,11,27.476918675737437,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,15,19.02606371228411,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,20,20.32128869652727,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,18,18.42839829297904,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,8,24.43858773522725,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,5,22.194933062255082,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,10,20.917136981843463,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,10,20.063597394525424,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
